http_interlog_time_q1,http_interlog_time_q2,http_interlog_time_q3,http_interlog_time_q4,http_interlog_time_q5,mean_interlog_time_http_interlog_time,std_interlog_time_http_interlog_time,base_key,http_interlog_key
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,574
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6795
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3047
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,18737
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3055
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5879
6.0,0.0,0.0,0.0,0.0,2.617666666666666,0.0,7,1627
6.0,0.0,0.0,0.0,0.0,2.617666666666666,0.0,8,14349
6.0,0.0,0.0,0.0,0.0,2.617666666666666,0.0,9,1216
6.0,0.0,0.0,0.0,0.0,2.617666666666666,0.0,10,8992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9698
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,13629
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,17025
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3900
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15561
2.0,0.0,0.0,0.0,0.0,0.012,0.0,16,9798
2.0,0.0,0.0,0.0,0.0,0.012,0.0,17,2631
2.0,0.0,0.0,0.0,0.0,0.012,0.0,18,16891
2.0,0.0,0.0,0.0,0.0,0.012,0.0,19,17663
2.0,0.0,0.0,0.0,0.0,0.012,0.0,20,14556
5.0,1.0,0.0,0.0,0.0,30.266999999999996,0.0,21,14747
5.0,1.0,0.0,0.0,0.0,30.266999999999996,0.0,22,5252
5.0,1.0,0.0,0.0,0.0,30.266999999999996,0.0,23,17557
5.0,1.0,0.0,0.0,0.0,30.266999999999996,0.0,24,19530
5.0,1.0,0.0,0.0,0.0,30.266999999999996,0.0,25,18740
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,13205
0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,12025
0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3571
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,12144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,10940
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,12809
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,8228
0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,7607
0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,16571
0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,16771
0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,3320
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,11008
