ssl_interlog_time_q1,ssl_interlog_time_q2,ssl_interlog_time_q3,ssl_interlog_time_q4,ssl_interlog_time_q5,mean_interlog_time_ssl_interlog_time,std_interlog_time_ssl_interlog_time,ssl_interlog_key,base_key
134.0,3.0,0.0,0.0,0.0,5.087591240875913,0.0,920,74
97.0,3.0,0.0,0.0,0.0,7.49753,0.0,13268,75
134.0,2.0,1.0,0.0,0.0,7.20705109489051,0.0,5650,76
134.0,2.0,1.0,0.0,0.0,7.20705109489051,0.0,4308,77
134.0,2.0,1.0,0.0,0.0,7.20705109489051,0.0,20031,78
134.0,2.0,1.0,0.0,0.0,7.20705109489051,0.0,3487,79
96.0,0.0,1.0,0.0,0.0,5.143381443298969,0.0,2091,80
37.0,0.0,1.0,0.0,0.0,10.176131578947368,0.0,13961,81
19.0,1.0,0.0,0.0,0.0,19.345000000000006,0.0,9751,82
43.0,1.0,0.0,0.0,0.0,17.002,0.0,11080,83
73.0,1.0,0.0,0.0,0.0,11.545094594594596,0.0,7579,84
75.0,2.0,0.0,0.0,0.0,13.40064935064935,0.0,11427,85
79.0,2.0,0.0,0.0,0.0,13.376481481481482,0.0,18704,86
60.0,1.0,0.0,0.0,0.0,11.419590163934425,0.0,8345,87
36.0,1.0,0.0,0.0,0.0,9.065054054054054,0.0,10008,88
19.0,2.0,0.0,0.0,0.0,28.000380952380947,0.0,1886,89
19.0,1.0,0.0,1.0,0.0,41.13457142857143,0.0,16199,90
15.0,1.0,0.0,1.0,0.0,47.775352941176465,0.0,4654,91
15.0,1.0,0.0,1.0,0.0,47.775352941176465,0.0,17028,92
22.0,1.0,0.0,1.0,0.0,36.356458333333336,0.0,2884,93
9.0,0.0,0.0,1.0,0.0,51.37050000000001,0.0,6526,94
10.0,1.0,1.0,0.0,0.0,45.61425,0.0,14487,95
31.0,2.0,1.0,0.0,0.0,22.942764705882354,0.0,13657,96
31.0,2.0,1.0,0.0,0.0,22.942764705882354,0.0,131,97
25.0,2.0,1.0,0.0,0.0,25.93682142857143,0.0,7143,98
25.0,2.0,1.0,0.0,0.0,25.93682142857143,0.0,4054,99
22.0,1.0,0.0,0.0,0.0,10.401478260869565,0.0,16074,100
1.0,0.0,0.0,0.0,0.0,6.551,0.0,18799,101
1.0,0.0,0.0,0.0,0.0,6.551,0.0,6455,102
1.0,0.0,0.0,0.0,0.0,6.551,0.0,10404,103
9.0,1.0,0.0,0.0,0.0,39.0739,0.0,6255,104
39.0,1.0,0.0,0.0,0.0,18.357425,0.0,9321,105
39.0,2.0,0.0,0.0,0.0,22.747756097560977,0.0,7073,106
146.0,2.0,0.0,0.0,0.0,8.207702702702703,0.0,19556,107
137.0,1.0,0.0,0.0,0.0,5.9710217391304345,0.0,18297,108
107.0,1.0,0.0,0.0,0.0,4.448546296296295,0.0,19455,109
132.0,1.0,0.0,0.0,0.0,4.853278195488722,0.0,16561,110
136.0,1.0,0.0,0.0,0.0,5.953576642335766,0.0,14311,111
30.0,1.0,0.0,0.0,0.0,17.629741935483874,0.0,1536,112
30.0,1.0,0.0,0.0,0.0,17.629741935483874,0.0,6235,113
30.0,1.0,0.0,0.0,0.0,17.629741935483874,0.0,682,114
6.0,0.0,0.0,0.0,0.0,37.860166666666665,0.0,4798,115
2.0,0.0,0.0,0.0,0.0,28.5035,0.0,15950,116
2.0,0.0,0.0,0.0,0.0,22.0655,0.0,6714,117
2.0,0.0,0.0,0.0,0.0,22.0655,0.0,2573,118
46.0,0.0,0.0,0.0,0.0,1.291413043478261,0.0,14170,119
